Language,Emoji&hashtag,Train/test,Model,Model_Specification,TF-IDF,Balance,Average_accuracy_30IT,Std_deviation
Spanish,All,60/40,Naive Bayes,Multinomial,Yes,Yes,71.66629389398345,0.5687604538742036
Spanish,All,60/40,Naive Bayes,Multinomial,Yes,No,72.07638040971374,0.487905619138459
Spanish,All,60/40,Naive Bayes,Multinomial,No,Yes,71.34123611421755,0.5631501591876366
Spanish,All,60/40,Naive Bayes,Multinomial,No,No,71.45841812508479,0.5221382336819329
Spanish,All,60/40,Naive Bayes,Bernoulli,Yes,Yes,70.71050473421307,0.5634074051435516
Spanish,All,60/40,Naive Bayes,Bernoulli,Yes,No,70.83570750237416,0.6918126267084977
Spanish,All,60/40,Naive Bayes,Bernoulli,No,Yes,70.72690673227466,0.669173350995361
Spanish,All,60/40,Naive Bayes,Bernoulli,No,No,70.97476597476597,0.6180824494225713
Spanish,All,60/40,SVM,"Linear kernel, small C",Yes,Yes,69.4609707000671,1.1530496985726326
Spanish,All,60/40,SVM,"Linear kernel, small C",Yes,No,65.7251390584724,1.0148722351495303
Spanish,All,60/40,SVM,"Linear kernel, small C",No,Yes,73.98866771043018,0.4988659305869901
Spanish,All,60/40,SVM,"Linear kernel, small C",No,No,74.2022792022792,0.5246868937898214
Spanish,All,60/40,SVM,"Linear kernel, standard C",Yes,Yes,73.72996346827705,0.7095202111542135
Spanish,All,60/40,SVM,"Linear kernel, standard C",Yes,No,74.04761904761905,0.583523213369822
Spanish,All,60/40,SVM,"Linear kernel, standard C",No,Yes,71.5477521807202,0.45921433452826865
Spanish,All,60/40,SVM,"Linear kernel, standard C",No,No,71.91832858499525,0.5164790797644637
Spanish,All,60/40,SVM,"Linear kernel, large C",Yes,Yes,69.99701781853426,0.8024997560173862
Spanish,All,60/40,SVM,"Linear kernel, large C",Yes,No,70.22927689594356,0.5931539122494245
Spanish,All,60/40,SVM,"Linear kernel, large C",No,Yes,69.62424513531649,0.7217321860834692
Spanish,All,60/40,SVM,"Linear kernel, large C",No,No,69.8087098087098,0.516746284024546
Spanish,All,60/40,SVM,"RBF kernel, small C",Yes,Yes,57.52031611123537,5.018049699120225
Spanish,All,60/40,SVM,"RBF kernel, small C",Yes,No,57.335504002170666,0.5653910444244375
Spanish,All,60/40,SVM,"RBF kernel, small C",No,Yes,65.31350182658615,1.0370037113547566
Spanish,All,60/40,SVM,"RBF kernel, small C",No,No,63.47442680776014,0.7177875206049389
Spanish,All,60/40,SVM,"RBF kernel, standard C",Yes,Yes,74.45090583762023,0.6988005303253313
Spanish,All,60/40,SVM,"RBF kernel, standard C",Yes,No,74.8026048026048,0.5276519132832028
Spanish,All,60/40,SVM,"RBF kernel, standard C",No,Yes,74.14150451054947,0.5970613239620017
Spanish,All,60/40,SVM,"RBF kernel, standard C",No,No,74.31284764618098,0.5851796716394365
Spanish,All,60/40,SVM,"RBF kernel, large C",Yes,Yes,74.25482740624767,0.4980509361850903
Spanish,All,60/40,SVM,"RBF kernel, large C",Yes,No,74.72323972323973,0.5008537631678766
Spanish,All,60/40,SVM,"RBF kernel, large C",No,Yes,73.57414448669202,0.6241819216333149
Spanish,All,60/40,SVM,"RBF kernel, large C",No,No,73.87735721069055,0.48729792573337183
Spanish,All,60/40,LR,"Liblinear solver, small C",Yes,Yes,71.9063595019757,0.5895659857926727
Spanish,All,60/40,LR,"Liblinear solver, small C",Yes,No,68.72134038800705,0.9169038775577001
Spanish,All,60/40,LR,"Liblinear solver, small C",No,Yes,73.84775963617386,0.749142045398615
Spanish,All,60/40,LR,"Liblinear solver, small C",No,No,73.7369420702754,0.6852161188048256
Spanish,All,60/40,LR,"Liblinear solver, standard C",Yes,Yes,74.28763140237083,0.4935161579374779
Spanish,All,60/40,LR,"Liblinear solver, standard C",Yes,No,74.27553927553927,0.589735458590186
Spanish,All,60/40,LR,"Liblinear solver, standard C",No,Yes,73.7292179229106,0.6444136729278374
Spanish,All,60/40,LR,"Liblinear solver, standard C",No,No,74.1337674671008,0.4763497870620942
Spanish,All,60/40,LR,"Liblinear solver, large C",Yes,Yes,72.94564974278684,0.5804446261704451
Spanish,All,60/40,LR,"Liblinear solver, large C",Yes,No,73.41541174874509,0.559570907477002
Spanish,All,60/40,LR,"Liblinear solver, large C",No,Yes,72.38425408186087,0.5567366683351838
Spanish,All,60/40,LR,"Liblinear solver, large C",No,No,72.67670601003934,0.6187794091696283
Spanish,All,60/40,LR,"Lbfgs solver, small C",Yes,Yes,71.86237232535599,0.796973579168878
Spanish,All,60/40,LR,"Lbfgs solver, small C",Yes,No,68.74169040835707,0.9066453387821665
Spanish,All,60/40,LR,"Lbfgs solver, small C",No,Yes,73.51450085737717,0.5599169108029829
Spanish,All,60/40,LR,"Lbfgs solver, small C",No,No,73.89431556098224,0.45904221322513394
Spanish,All,60/40,LR,"Lbfgs solver, standard C",Yes,Yes,74.4822187430105,0.4894359408973054
Spanish,All,60/40,LR,"Lbfgs solver, standard C",Yes,No,74.43901777235111,0.4693128872645942
Spanish,All,60/40,LR,"Lbfgs solver, standard C",No,Yes,73.59129203012003,0.5448601981569936
Spanish,All,60/40,LR,"Lbfgs solver, standard C",No,No,73.95468728802062,0.4600257436137566
Spanish,All,60/40,LR,"Lbfgs solver, large C",Yes,Yes,72.95459628718407,0.5468343014261365
Spanish,All,60/40,LR,"Lbfgs solver, large C",Yes,No,73.54022520689188,0.4832472998669134
Spanish,All,60/40,LR,"Lbfgs solver, large C",No,Yes,72.55200178930887,0.48043802269096014
Spanish,All,60/40,LR,"Lbfgs solver, large C",No,No,72.61294261294262,0.47184575160860465
Spanish,All,70/30,Naive Bayes,Multinomial,Yes,Yes,72.31036882393876,0.6341975355120819
Spanish,All,70/30,Naive Bayes,Multinomial,Yes,No,72.15590522698498,0.7181491422751749
Spanish,All,70/30,Naive Bayes,Multinomial,No,Yes,71.6293866189482,0.9105534955599286
Spanish,All,70/30,Naive Bayes,Multinomial,No,No,71.98950985711701,0.7450145699518934
Spanish,All,70/30,Naive Bayes,Bernoulli,Yes,Yes,70.95238095238095,0.7317735629582275
Spanish,All,70/30,Naive Bayes,Bernoulli,Yes,No,71.4514378730331,0.7490377397707918
Spanish,All,70/30,Naive Bayes,Bernoulli,No,Yes,71.15319614275774,0.9754654922326715
Spanish,All,70/30,Naive Bayes,Bernoulli,No,No,71.51383613673359,0.6757489684077599
Spanish,All,70/30,SVM,"Linear kernel, small C",Yes,Yes,70.12724922954568,1.0718207364892431
Spanish,All,70/30,SVM,"Linear kernel, small C",Yes,No,67.0935069632845,0.7638269982846304
Spanish,All,70/30,SVM,"Linear kernel, small C",No,Yes,74.35828611193955,0.41559886280243935
Spanish,All,70/30,SVM,"Linear kernel, small C",No,No,74.31994935793091,0.568080803981025
Spanish,All,70/30,SVM,"Linear kernel, standard C",Yes,Yes,74.0302216920171,0.7298513813267719
Spanish,All,70/30,SVM,"Linear kernel, standard C",Yes,No,74.17435340929643,0.554756071989316
Spanish,All,70/30,SVM,"Linear kernel, standard C",No,Yes,71.59658017695595,0.6725410489618132
Spanish,All,70/30,SVM,"Linear kernel, standard C",No,No,71.95695424127328,0.6494470652557902
