Language,Emoji&hashtag,Train/test,Model,Model_Specification,TF-IDF,Balance,Average_accuracy_30IT,Std_deviation
Spanish,All,60/40,Naive Bayes,Multinomial,Yes,Yes,,
Spanish,All,60/40,Naive Bayes,Multinomial,Yes,No,,
Spanish,All,60/40,Naive Bayes,Multinomial,No,Yes,,
Spanish,All,60/40,Naive Bayes,Multinomial,No,No,,
Spanish,All,60/40,Naive Bayes,Bernoulli,Yes,Yes,,
Spanish,All,60/40,Naive Bayes,Bernoulli,Yes,No,,
Spanish,All,60/40,Naive Bayes,Bernoulli,No,Yes,,
Spanish,All,60/40,Naive Bayes,Bernoulli,No,No,,
Spanish,All,60/40,SVM,"Linear kernel, small C",Yes,Yes,,
Spanish,All,60/40,SVM,"Linear kernel, small C",Yes,No,,
Spanish,All,60/40,SVM,"Linear kernel, small C",No,Yes,,
Spanish,All,60/40,SVM,"Linear kernel, small C",No,No,,
Spanish,All,60/40,SVM,"Linear kernel, standard C",Yes,Yes,,
Spanish,All,60/40,SVM,"Linear kernel, standard C",Yes,No,,
Spanish,All,60/40,SVM,"Linear kernel, standard C",No,Yes,,
Spanish,All,60/40,SVM,"Linear kernel, standard C",No,No,,
Spanish,All,60/40,SVM,"Linear kernel, large C",Yes,Yes,,
Spanish,All,60/40,SVM,"Linear kernel, large C",Yes,No,,
Spanish,All,60/40,SVM,"Linear kernel, large C",No,Yes,,
Spanish,All,60/40,SVM,"Linear kernel, large C",No,No,,
Spanish,All,60/40,SVM,"RBF kernel, small C",Yes,Yes,,
Spanish,All,60/40,SVM,"RBF kernel, small C",Yes,No,,
Spanish,All,60/40,SVM,"RBF kernel, small C",No,Yes,,
Spanish,All,60/40,SVM,"RBF kernel, small C",No,No,,
Spanish,All,60/40,SVM,"RBF kernel, standard C",Yes,Yes,,
Spanish,All,60/40,SVM,"RBF kernel, standard C",Yes,No,,
Spanish,All,60/40,SVM,"RBF kernel, standard C",No,Yes,,
Spanish,All,60/40,SVM,"RBF kernel, standard C",No,No,,
Spanish,All,60/40,SVM,"RBF kernel, large C",Yes,Yes,,
Spanish,All,60/40,SVM,"RBF kernel, large C",Yes,No,,
Spanish,All,60/40,SVM,"RBF kernel, large C",No,Yes,,
Spanish,All,60/40,SVM,"RBF kernel, large C",No,No,,
Spanish,All,60/40,LR,"Liblinear solver, small C",Yes,Yes,71.9063595,0.589565986
Spanish,All,60/40,LR,"Liblinear solver, small C",Yes,No,68.72134039,0.916903878
Spanish,All,60/40,LR,"Liblinear solver, small C",No,Yes,73.84775964,0.749142045
Spanish,All,60/40,LR,"Liblinear solver, small C",No,No,73.73694207,0.685216119
Spanish,All,60/40,LR,"Liblinear solver, standard C",Yes,Yes,74.2876314,0.493516158
Spanish,All,60/40,LR,"Liblinear solver, standard C",Yes,No,74.27553928,0.589735459
Spanish,All,60/40,LR,"Liblinear solver, standard C",No,Yes,73.72921792,0.644413673
Spanish,All,60/40,LR,"Liblinear solver, standard C",No,No,74.13376747,0.476349787
