tweet_id,hs,aggressiveness,offensiveness,irony,stereotype,tweet_id_full
8.04E+17,no,no,no,yes,no,8.03574E+17
8.10E+17,no,no,no,no,no,8.1009E+17
8.02E+17,no,no,no,no,no,8.01895E+17
8.31E+17,no,no,no,no,no,8.31442E+17
7.91E+17,no,no,no,no,yes,7.90512E+17
8.46E+17,no,no,no,yes,no,8.46471E+17
8.25E+17,no,no,no,no,no,8.2471E+17
8.15E+17,no,weak,no,yes,no,8.15302E+17
8.39E+17,no,no,weak,no,yes,8.3879E+17
8.25E+17,no,no,no,no,no,8.25145E+17
8.16E+17,yes,strong,no,no,no,8.16226E+17
7.83E+17,no,no,no,no,no,7.82871E+17
8.22E+17,no,no,no,no,no,8.22074E+17
8.55E+17,no,no,no,no,no,8.54959E+17
7.83E+17,no,no,no,no,no,7.82968E+17
8.25E+17,no,no,no,no,yes,8.24997E+17
8.42E+17,no,no,no,yes,yes,8.42469E+17
8.35E+17,no,no,no,no,no,8.35187E+17
8.00E+17,no,no,no,no,no,7.99732E+17
8.36E+17,no,no,no,yes,no,8.36133E+17
8.53E+17,no,no,no,no,no,8.52613E+17
8.22E+17,no,no,no,no,no,8.21749E+17
8.35E+17,no,no,no,no,no,8.34859E+17
8.08E+17,no,no,weak,yes,no,8.0787E+17
8.47E+17,no,no,no,no,no,8.46685E+17
8.11E+17,no,no,no,yes,no,8.10888E+17
8.51E+17,no,no,no,no,no,8.51417E+17
8.35E+17,no,no,weak,yes,yes,8.35092E+17
8.31E+17,no,no,no,yes,no,8.30794E+17
8.22E+17,no,no,no,yes,no,8.2207E+17
8.55E+17,no,no,no,no,no,8.55464E+17
8.07E+17,no,no,no,no,no,8.07207E+17
8.51E+17,no,no,no,no,no,8.50634E+17
8.02E+17,no,no,no,no,no,8.01848E+17
8.30E+17,yes,weak,strong,no,no,8.30108E+17
8.04E+17,no,no,no,no,no,8.04121E+17
8.07E+17,no,no,no,yes,no,8.07304E+17
8.05E+17,no,no,no,no,no,8.04764E+17
8.35E+17,yes,weak,no,no,no,8.34861E+17
8.32E+17,no,no,no,no,no,8.31835E+17
8.35E+17,no,no,no,yes,yes,8.35485E+17
8.41E+17,no,no,no,no,no,8.41255E+17
8.24E+17,no,no,no,no,no,8.2393E+17
8.42E+17,no,no,no,yes,no,8.41662E+17
8.42E+17,no,weak,weak,yes,yes,8.42463E+17
8.25E+17,no,no,no,no,no,8.24571E+17
8.00E+17,no,no,no,no,no,7.99672E+17
7.87E+17,no,weak,weak,no,no,7.87361E+17
8.56E+17,no,no,no,no,no,8.55718E+17
8.40E+17,no,no,weak,no,no,8.40242E+17
8.25E+17,no,no,no,no,no,8.25253E+17
8.54E+17,no,no,weak,no,yes,8.53722E+17
8.18E+17,no,no,no,no,no,8.18425E+17
8.08E+17,no,no,weak,yes,yes,8.08398E+17
8.21E+17,no,no,no,no,no,8.21218E+17
7.84E+17,no,no,no,yes,yes,7.83759E+17
8.22E+17,no,weak,weak,yes,yes,8.22407E+17
8.52E+17,no,no,weak,yes,no,8.52214E+17
8.36E+17,no,no,no,no,no,8.35797E+17
8.24E+17,no,no,no,yes,no,8.23637E+17
8.11E+17,no,no,no,no,no,8.11099E+17
8.39E+17,no,no,no,no,no,8.39453E+17
8.37E+17,no,no,no,no,no,8.37268E+17
8.30E+17,no,no,no,no,no,8.3017E+17
8.09E+17,no,no,no,no,no,8.09431E+17
7.85E+17,no,no,no,yes,yes,7.85211E+17
8.24E+17,no,no,no,yes,yes,8.24367E+17
8.32E+17,no,no,no,no,no,8.32258E+17
8.42E+17,no,weak,no,no,yes,8.41571E+17
8.50E+17,no,no,no,no,no,8.49853E+17
8.50E+17,no,no,no,no,no,8.50108E+17
8.40E+17,no,weak,no,no,no,8.39579E+17
8.46E+17,no,no,no,yes,yes,8.45605E+17
8.46E+17,no,weak,no,yes,no,8.46484E+17
8.26E+17,no,no,no,no,no,8.26189E+17
8.37E+17,yes,no,no,no,no,8.37351E+17
8.57E+17,no,no,no,no,no,8.56514E+17
