text,hate speech
Easyjetquiereduplicarelnúmerodemujerespiloto'Verástúparaaparcarelavión..,1
ElgobiernodebecrearuncontrolestrictodeinmigraciónenlaszonasfronterizasconColombiaporqdespuésdel20-8querránvenirenmasa,1
Yoveoamujeresdestruidasporacosolaboralycallejero.Otrascondepresióndebidoaviolaciónsexualomaltratofísico.Yconocíavariasquesesuicidaronporestetipodecomportamientosmachistas.Vasaseguircontushowpobre?,0
"—Yosoyrespetuosoconlosdemás,sólamentelesrecuerdoloqueson.Ysisonescorianoesculpamía....—¡Claroquelosé!¿¡Porquiénmetomas!?",0
AntonioCaballeroycomoserdemalgustoeignorantealavez.Claroquenoeslomismoacososexualyviolaciónperohayvariasconductasquecomponenlaviolenciasexual.,0
Cuántohijodeputasobraenelmundo...,0
PabloCasadodeberíaestudiarunmástereninmigración,0
vosmehacesesotepegounapatadaenlacara,0
Noticiasdelalinea:DetienenenGuatapanalmotocicletaynacionalhaitianoindocumentado,0
Lloratelo.merecesporzorra,1
Padresindocumentadosrealizaronunahuelgadehambreparapedirserliberados,0
Noséporquehaypersonasquepiensanquetodoslosinmigrantessondelincuentes,0
ATomiAlegreJAKSKKSJSJ—Cállateqtdvestoydedueloputa,0
Callategallinaputaycntalacmoquieras!!Bolsoculofacil!!Jajajaajhijooo,1
Albondigas!CasialestilodelasfodongasperoenelGabacho.,0
"Todos:-NoTodosLosHombres-PPK,presidentedelujo-Perúnovaalmundial2017:Já,ilusos.",0
EljuezcitaadeclararalamenorquedenuncióabusosporpartedejugadoresdelaArandina,0
VAMOOOOLAPUTAMADRESELOMERECÍATANTOESFUERZOYHABERPASADOTANTOSTELÉFONOSNECESITÁBAMOSESTEDESCANSOSoltarteNoEstáEnMisPlanesMica,0
PdaversicierrandeunaputavezTv3quenosétodavíaquéserviciopúblicoofreceparaquemerezcadinerodenuestrosimpuestososolohacedañoquerobenunos?,0
"Yoestabaclaroqueestavidadetrabajadorinmigrantefundidomáquinaibaaserdifícil.Yesverdad,esdifíciljajaja",0
"Miradevdestoyhastalapollaya,noaguantomástonterías",0
Notienesniputaidea.lamelodiaesminoviaessevillista...unaputamas.,1
Diappoler*jajajacállatePepeniñopollaSimehanllenadodenotificaciónesjajajajaja,0
"¿Mojigatas,moralinas?¿Neta?¿Porestarencontradelacososexualylaviolacióneneltrabajo?",0
"Sicualquiercosaesviolaciónoacoso,seminimizanlaviolaciónyelacoso.Porlotanto,pierdenlasvíctimasdelasmierdasquesededicanaviolary/oacosar.",0
"Quedivertidoqueconsideresqueunapibaporestarconunoconnoviaesunazorra...simalnorecuerdotambientehabiasmetidoconunoCONnovia,nohayquehacerloquenonosgustaquenoshagan",0
"Odiolosviejosquesecreenquesemerecentodo,hijodeputatúloquetemerecesesunatumba.",0
Tueresdemasiadoperra,1
Elpapapapartidoimimimporta...callatetartaja!!!Comepollademadeira,0
callatelaputabocagordoalmagro,0
"Esungranregalo????Yunapollaunregalo,aquínolehanregaladonada.Selohacurradomuchísimo,yavaleconlastonteríasOTGala8",0
mesaquéun9enelfinaldebiologíaparavoshijadeputaqnomequisistepromocionarporunascentésimasENTUCARAYENTUCANCHA,0
Puteriaypericotambiénsomosalmasgemelasexceptoquetueresputadesdeélvientre.,1
"eresunaverdaderacagada,puto,mierdaentrelamierda,poresoalosputosargentos,sudakasmiserables,seleaborrece,porescoriascomomicosoretemalparido",1
IaddedavideotoaplaylistElGüeroBastidas-EnigmaNorteño(2011),0
asiledigoatumamicallateperra,1
Cállateyvenyajoderhostiaputa,0
"Dosamigoshablando:-Raúl,qmedaspormimujer?-Nada-Tratohecho.",1
"Callateperra,redespiertaestoy",1
