text,hate speech
"não come mel, morde marimbondo",0.0
"não tem pinto, tem orgulho !",0.0
Não vê essa merda de Crepúsculo! Pra isso temos a cinebiografia do Chuck Norris....,0.0
"não da tapa na bundinha, da cotovelada nas costas !",0.0
o diminutivo INHO não acompanha a trajetória de um HOMEM DE VERDADE.,0.0
"uns tem saco, nós temos culhões !!!!!!!!!!!!!!!!!!!",0.0
"Esse futebol de hoje ""politicamente correto"" e ""profissional"" não é coisa de homem de verdade...é de mariquinha..futebol tem que ter porrada",0.0
água ser essencial é coisa de maricas. Cerveja é essencial !,1.0
....não tem barriga tem calo sexual...,0.0
"....não manda ajustar a calça, deixa um espaço pra sua Smith & Wesson entrar em ação.",0.0
"Morte aos hipsters a as camisetas de cores citricas, morte a meias coloridinhas e as cuequinhas alegres.",0.0
" não tem namorada, tem fêmea temporária.",1.0
"Apesar de serem da Australia, AC/DC é uma banda de homens de verdade!",0.0
" come frango cru nao a "" passarinho "" !",0.0
FATO: Tem muita mulher que é muito mais  do que muito mariquinha fresco por ai !,1.0
" não usa capa de chuva,   nada em tsunami !",0.0
quem não gosta de AC/DC  e não é  !,0.0
Jamais confunda um homem porco a um  um  sabe bem a hora de lavar as mãos !,0.0
" usa barba ou bigode, essa coisa de pelinha lisinha pra gente é bunda de mulher !",1.0
 : ser pós moderno não é coisa de  portanto  !,0.0
" pega forte na cintura da sua fêmea, essa coisa de delicadeza nessas horas é desses Jonnys Manés Citricos bunda mole!",1.0
" não pode ser vegetariano, a gente esta sempre no topo da cadeia alimentar !",0.0
"FATO: Estamos em plena extinção, o mundo esta sendo dominado por bibasexuais, creminhosexuais, saladinhasexuais, metrosexufrangas!",1.0
Somos o foco da resistência antifrangas modernas sem culhões !,0.0
"Confissões de um  : Na hora do banho, toma sem pressa, curte a água, não limpa o umbigo e soca uma bronha (melhor parte) !",0.0
"Se vc tem um namorado que diz que não olha para as gostosas e que
não bate umazinha nunca! FUJA: é uma franguinha sem caráter !!!",1.0
" cientificamente comprovado. se não curte um pornozinho, não é ",0.0
" Terry Richardson, fotógrafo do calendário da Pirelli 2010, profissão:  - ",0.0
 gosta quando  sem rodeios....,0.0
"Enciclopédia  : Futebol = hora sagrada, churrasco, cerveja gelada, não gosta vaza! fêmeas no shopping !",1.0
"Ao mestre com carinho...Luiz Carlos Alborghetti (12/02/1945-9/12/2009): jornalista, radialista com culhões e  R.I.P.!",0.0
 claro!  não comentou nada porque esteve em algumas horas de luto e reflexão sobre sua obra. Brinde ao Mestre...,0.0
  não acompanha time de meninas!,1.0
" manda um salve pra imagem da semana: nós te amamos!!!
- ",0.0
 fez um serviço na cara do Silvio Berlusconi !,0.0
"  mesmo, tem que ter 2 filhos em 24 territórios a sua escolha....",0.0
  nao paga pau. Ele paga uma mocreia para tirar a zica.,0.0
"Só pra deixar claro,  não faz clube do macho, turminha da foda, essas merdas machistas de baitolas recatadas !",0.0
 pro  construção se resume a duas coisas: Concreto e madeira.,0.0
 Um  eh akele q sabe procriar sem deixar vestigios.,0.0
"Sugestões para um 2010 melhor: Canonizar a Punheta, a Santa Punheta, a Sagrada Bronha de domingo. Melhor amiga do  !",0.0
Sugestões para um 2010 melhor: Colocar Chuck Norris como protagonista da série de TV 24hs!,0.0
"Sugestões para um 2010 melhor: menos Calcinha Preta nas rádios, aliás, sem calcinha é bem melhor!",0.0
"As melhores mulheres são as que querem trepar com você, e as piores são as que não querem."" - Lemmy - Motörhead - ",1.0
